retriever,reranker,top_k,recall,mrr,ndcg,count
tfidf,,1,0.6130806328792622,0.6130806328792622,0.6130806328792622,11819
tfidf,,3,0.7744310009307048,0.6850833403841218,0.7080684695502557,11819
tfidf,,5,0.8210508503257467,0.6957906760301132,0.727315974695401,11819
tfidf,,10,0.8701243760047381,0.7025670597652105,0.7434130346410073,11819
tfidf,,20,0.9010068533716896,0.7047384171141818,0.7512568922916499,11819
bm25,,1,0.5997123276080887,0.5997123276080887,0.5997123276080887,11819
bm25,,3,0.7199424655216178,0.6535380883887493,0.6706283534759524,11819
bm25,,5,0.7589474574837126,0.6623586315819107,0.6866111496589826,11819
bm25,,10,0.8026905829596412,0.6683599651892204,0.7009199559720243,11819
bm25,,20,0.8385650224215246,0.6708831749698602,0.7100308068712184,11819
dense,,1,0.5761062695659531,0.5761062695659531,0.5761062695659531,11819
dense,,3,0.7483712666046197,0.6536226979157795,0.6780247820322776,11819
dense,,5,0.8004061257297572,0.665548410751042,0.6994857519113122,11819
dense,,10,0.8533716896522549,0.672804416348704,0.7168019654636996,11819
dense,,20,0.8908537101277604,0.6754472556927809,0.7263305995834907,11819
hybrid,,1,0.6932904645063034,0.6932904645063034,0.6932904645063034,11819
hybrid,,3,0.8136052119468652,0.7479623205572933,0.7648913136000888,11819
hybrid,,5,0.8458414417463407,0.7552598922638674,0.7781072788657561,11819
hybrid,,10,0.8807005668838311,0.7599193926378967,0.789386546251808,11819
hybrid,,20,0.9084524917505711,0.7619229568044568,0.7965005520545057,11819
